SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,Year,Population
40,3,6,1,0,Alabama,Alabama,2000,4452173
50,3,6,1,1,Alabama,Autauga County,2000,44021
50,3,6,1,3,Alabama,Baldwin County,2000,141342
50,3,6,1,5,Alabama,Barbour County,2000,29015
50,3,6,1,7,Alabama,Bibb County,2000,19913
50,3,6,1,9,Alabama,Blount County,2000,51107
50,3,6,1,11,Alabama,Bullock County,2000,11581
50,3,6,1,13,Alabama,Butler County,2000,21325
50,3,6,1,15,Alabama,Calhoun County,2000,111081
50,3,6,1,17,Alabama,Chambers County,2000,36571
50,3,6,1,19,Alabama,Cherokee County,2000,24006
50,3,6,1,21,Alabama,Chilton County,2000,39897
50,3,6,1,23,Alabama,Choctaw County,2000,15875
50,3,6,1,25,Alabama,Clarke County,2000,27819
50,3,6,1,27,Alabama,Clay County,2000,14263
50,3,6,1,29,Alabama,Cleburne County,2000,14172
50,3,6,1,31,Alabama,Coffee County,2000,43580
50,3,6,1,33,Alabama,Colbert County,2000,54997
50,3,6,1,35,Alabama,Conecuh County,2000,14035
50,3,6,1,37,Alabama,Coosa County,2000,11844
50,3,6,1,39,Alabama,Covington County,2000,37514
50,3,6,1,41,Alabama,Crenshaw County,2000,13692
50,3,6,1,43,Alabama,Cullman County,2000,77473
50,3,6,1,45,Alabama,Dale County,2000,49124
50,3,6,1,47,Alabama,Dallas County,2000,46198
50,3,6,1,49,Alabama,DeKalb County,2000,64650
50,3,6,1,51,Alabama,Elmore County,2000,66160
50,3,6,1,53,Alabama,Escambia County,2000,38325
50,3,6,1,55,Alabama,Etowah County,2000,103286
50,3,6,1,57,Alabama,Fayette County,2000,18512
50,3,6,1,59,Alabama,Franklin County,2000,31242
50,3,6,1,61,Alabama,Geneva County,2000,25740
50,3,6,1,63,Alabama,Greene County,2000,9902
50,3,6,1,65,Alabama,Hale County,2000,18194
50,3,6,1,67,Alabama,Henry County,2000,16341
50,3,6,1,69,Alabama,Houston County,2000,88943
50,3,6,1,71,Alabama,Jackson County,2000,53979
50,3,6,1,73,Alabama,Jefferson County,2000,662033
50,3,6,1,75,Alabama,Lamar County,2000,15923
